,K_NAME,S_NAME,REMARK,LONGITUDE,LATITUDE,SOURCE
10909,¸äµÅÁö,Sus scrofa,,128.066304,37.37940928,NES2
10910,¸äµÅÁö,Sus scrofa,,128.0696703,37.37898646,NES2
10911,¸äµÅÁö,Sus scrofa,,127.3039841,38.02004685,NES2
10912,¸äµÅÁö,Sus scrofa,,128.5132113,38.34021045,NES2
10913,¸äµÅÁö,Sus scrofa,,129.2706226,36.33662176,NES2
10914,¸äµÅÁö,Sus scrofa,,128.3843977,38.26380709,NES2
10915,¸äµÅÁö,Sus scrofa,,128.5401329,37.20505689,NES2
10916,¸äµÅÁö,Sus scrofa,,128.6609363,37.27532438,NES2
10917,¸äµÅÁö,Sus scrofa,,128.8826946,36.38078284,NES2
10918,¸äµÅÁö,Sus scrofa,,128.0343437,37.39527925,NES2
10919,¸äµÅÁö,Sus scrofa,,128.1333427,37.53337956,NES2
10920,¸äµÅÁö,Sus scrofa,,128.3872048,36.87855853,NES2
10921,¸äµÅÁö,Sus scrofa,,128.6252434,37.16523987,NES2
10922,¸äµÅÁö,Sus scrofa,,128.3678754,38.16705041,NES2
10923,¸äµÅÁö,Sus scrofa,,129.2696494,36.27644272,NES2
10924,¸äµÅÁö,Sus scrofa,,128.2790451,37.24404403,NES2
10925,¸äµÅÁö,Sus scrofa,,128.115152,38.20890059,NES2
10926,¸äµÅÁö,Sus scrofa,,128.2667644,37.238355,NES2
10927,¸äµÅÁö,Sus scrofa,,128.1181754,38.21873726,NES2
10928,¸äµÅÁö,Sus scrofa,,128.1388496,37.52263227,NES2
10929,¸äµÅÁö,Sus scrofa,,129.2555217,36.27242123,NES2
10930,¸äµÅÁö,Sus scrofa,,128.3644497,38.1424297,NES2
10931,¸äµÅÁö,Sus scrofa,,129.251662,36.26208404,NES2
10932,¸äµÅÁö,Sus scrofa,,127.012793,36.47927439,NES2
10933,¸äµÅÁö,Sus scrofa,,126.4939633,37.67008154,NES2
10934,¸äµÅÁö,Sus scrofa,,127.609988,37.57914152,NES2
10935,¸äµÅÁö,Sus scrofa,,127.2288469,36.34198436,NES2
10936,¸äµÅÁö,Sus scrofa,,128.0990456,38.24175496,NES2
10937,¸äµÅÁö,Sus scrofa,,128.3835643,38.14716307,NES2
10938,¸äµÅÁö,Sus scrofa,,128.1701145,37.21663034,NES2
10939,¸äµÅÁö,Sus scrofa,,127.5493061,37.55893024,NES2
10940,¸äµÅÁö,Sus scrofa,,128.1264707,37.23544562,NES2
10941,¸äµÅÁö,Sus scrofa,,128.1260146,37.5322613,NES2
10942,¸äµÅÁö,Sus scrofa,,128.5144386,38.12151946,NES2
10943,¸äµÅÁö,Sus scrofa,,127.5507852,37.56787345,NES2
10944,¸äµÅÁö,Sus scrofa,,128.1517004,37.21891262,NES2
10945,¸äµÅÁö,Sus scrofa,,127.2301517,35.26610268,NES2
10946,¸äµÅÁö,Sus scrofa,,128.4380885,38.19621555,NES2
10947,¸äµÅÁö,Sus scrofa,,128.176762,37.19550394,NES2
10948,¸äµÅÁö,Sus scrofa,,126.7759547,35.45240787,NES2
10949,¸äµÅÁö,Sus scrofa,,129.2737304,36.28599529,NES2
10950,¸äµÅÁö,Sus scrofa,,128.4633284,38.18339647,NES2
10951,¸äµÅÁö,Sus scrofa,,128.3806496,38.32836638,NES2
10952,¸äµÅÁö,Sus scrofa,,129.2917809,36.30218165,NES2
10953,¸äµÅÁö,Sus scrofa,,128.2295847,37.25994263,NES2
10954,¸äµÅÁö,Sus scrofa,,128.115944,37.4863179,NES2
10955,¸äµÅÁö,Sus scrofa,,127.6690983,35.77150876,NES2
10956,¸äµÅÁö,Sus scrofa,,128.669585,37.5711905,NES2
10957,¸äµÅÁö,Sus scrofa,,128.1897366,37.51405107,NES2
10958,¸äµÅÁö,Sus scrofa,,128.6474641,37.5907636,NES2
10959,¸äµÅÁö,Sus scrofa,,129.2493716,36.28462342,NES2
10960,¸äµÅÁö,Sus scrofa,,128.5894753,37.60586753,NES2
10961,¸äµÅÁö,Sus scrofa,,127.321872,38.0928988,NES2
10962,¸äµÅÁö,Sus scrofa,,129.2790643,36.27731639,NES2
10963,¸äµÅÁö,Sus scrofa,,129.2831103,36.28893565,NES2
10964,¸äµÅÁö,Sus scrofa,,128.2125069,37.26612513,NES2
10965,¸äµÅÁö,Sus scrofa,,128.5905009,37.62655571,NES2
10966,¸äµÅÁö,Sus scrofa,,127.3336208,38.09541486,NES2
10967,¸äµÅÁö,Sus scrofa,,128.1631704,37.50837402,NES2
10968,¸äµÅÁö,Sus scrofa,,128.2549916,36.55461691,NES2
10969,¸äµÅÁö,Sus scrofa,,127.0107915,36.47955569,NES2
10970,¸äµÅÁö,Sus scrofa,,129.2911361,36.28671581,NES2
10971,¸äµÅÁö,Sus scrofa,,127.3389664,38.09987464,NES2
10972,¸äµÅÁö,Sus scrofa,,127.970544,38.25141123,NES2
10973,¸äµÅÁö,Sus scrofa,,128.3222775,38.17608,NES2
10974,¸äµÅÁö,Sus scrofa,,127.9574871,38.25063647,NES2
10975,¸äµÅÁö,Sus scrofa,,129.2921263,36.27940609,NES2
