번호,과학원번호,발견일,폐사추정일,폐사경과일,,
225,20S-2019,2020-02-16,2020-02-01,15,,
226,20S-2020,2020-02-16,2020-01-27,20,,
227,20S-2021,2020-02-16,2020-02-01,15,,
228,20S-2052,2020-02-17,2020-01-23,25,,
229,20S-2070,2020-02-18,2020-02-11,7,,
230,20S-2135,2020-02-19,2020-02-04,15,,
231,20S-2137,2020-02-19,2020-02-04,15,,
232,20S-2141,2020-02-19,2020-01-20,30,,
233,20S-2142,2020-02-19,2020-02-12,7,,
234,20S-2145,2020-02-19,2020-02-09,10,,
235,20S-2146,2020-02-19,2020-01-30,20,,
236,20S-2151,2020-02-19,2020-02-16,3,,
237,20S-2154,2020-02-19,2020-01-10,40,,
238,20S-2185,2020-02-20,2020-01-31,20,,
239,20S-2186,2020-02-20,2020-01-26,25,,
240,20S-2193,2020-02-20,2020-02-15,5,,
241,20S-2194,2020-02-20,2020-02-13,7,,
242,20S-2195,2020-02-20,2020-02-15,5,,
243,20S-2196,2020-02-20,2020-02-13,7,,
244,20S-2199,2020-02-18,2020-02-08,10,,
245,20S-2273,2020-02-21,2020-01-27,25,,
246,20S-2280,2020-02-21,2020-02-14,7,,
247,20S-2281,2020-02-21,2020-02-14,7,,
248,20S-2282,2020-02-21,2020-02-14,7,,
249,20S-2287,2020-02-21,2020-02-16,5,,
250,20S-2289,2020-02-21,2020-02-16,5,,
251,20S-2290,2020-02-21,2020-02-14,7,,
252,20S-2291,2020-02-21,2020-02-01,20,,
253,20S-2297,2020-02-22,2020-02-15,7,,
254,20S-2298,2020-02-22,2020-02-07,15,,
255,20S-2299,2020-02-22,2020-02-15,7,,
256,20S-2300,2020-02-23,2020-02-08,15,,
257,20S-2301,2020-02-22,2020-02-22,0,,
258,20S-2320,2020-02-24,2020-02-17,7,,
259,20S-2321,2020-02-24,2020-02-09,15,,
260,20S-2323,2020-02-24,2020-02-04,20,,
261,20S-2328,2020-02-24,2020-02-19,5,,
262,20S-2329,2020-02-24,2020-02-17,7,,
263,20S-2330,2020-02-24,2020-02-19,5,,
264,20S-2440,2020-02-26,2020-02-19,7,,
265,20S-2441,2020-02-26,2020-02-11,15,,
266,20S-2443,2020-02-26,2020-02-21,5,,
267,20S-2444,2020-02-26,2020-02-19,7,,
268,20S-2445,2020-02-26,2020-02-19,7,,
269,20S-2446,2020-02-26,2020-02-11,15,,
270,20S-2448,2020-02-26,2020-02-21,5,,
271,20S-2450,2020-02-26,2020-02-16,10,,
272,20S-2451,2020-02-26,2020-02-24,2,,
273,20S-2483,2020-02-27,2020-02-20,7,,
274,20S-2484,2020-02-27,2020-02-20,7,,
275,20S-2485,2020-02-27,2020-02-20,7,,
276,20S-2486,2020-02-27,2020-02-26,1,,
277,20S-2487,2020-02-27,2020-02-22,5,,
278,20S-2488,2020-02-27,2020-02-20,7,,
279,20S-2489,2020-02-27,2020-02-26,1,,
280,20S-2491,2020-02-27,2020-02-20,7,,
281,20S-2492,2020-02-27,2020-02-22,5,,
282,20S-2512,2020-02-28,2020-02-18,10,,
283,20S-2513,2020-02-28,2020-02-21,7,,
284,20S-2514,2020-02-28,2020-02-23,5,,
285,20S-2516,2020-02-28,2020-02-21,7,,
286,20S-2517,2020-02-28,2020-02-21,7,,
287,20S-2518,2020-02-28,2020-02-23,5,,
288,20S-2519,2020-02-28,2020-02-21,7,,
289,20S-2520,2020-02-28,2020-02-18,10,,
290,20S-2521,2020-02-28,2020-02-21,7,,
291,20S-2532,2020-02-29,2020-02-26,3,,
292,20S-2533,2020-02-29,2020-02-14,15,,
293,20S-2537,2020-02-29,2020-02-24,5,,
294,20S-2538,2020-02-29,2020-02-24,5,,
295,20S-2540,2020-03-01,2020-02-23,7,,
296,20S-2541,2020-03-01,2020-01-31,30,,
297,20S-2544,2020-03-01,2020-02-25,5,,
298,20S-2545,2020-02-29,2020-02-24,5,,
299,20S-2575,2020-03-02,2020-02-21,10,,
300,20S-2576,2020-03-02,2020-02-16,15,,
